commit	mean_macro_f1	st1_macro_f1	st2_macro_f1	st3_macro_f1	st3_family_macro_f1	model	status	description
9d2b4ed	0.567	0.637	0.605	0.460	0.526	roberta-base	keep	baseline: lora_train.py as-is defaults (lora_r=256 q,v target modules, lr=2e-4, batch=16, context=full, no df), 10 epochs, best at epoch 7
9d2b4ed	0.574	0.615	0.636	0.470	0.534	roberta-base	keep	exp01: baseline + --pos-weight (inverse-freq st2/st3 BCE reweighting), 10 epochs, best at epoch 9; adopting pos-weight as new standing default for future experiments
9d2b4ed	0.613	0.676	0.659	0.503	0.556	roberta-base	keep	exp02: exp01 + lora_r 256->64 + target-modules query,value->query,key,value,dense (dense matches attn.output.dense AND FFN intermediate/output.dense, so this also LoRA-adapts the FFN -- confounds rank change with module coverage change, but net improvement is large). Note: ~7min/epoch (vs ~2min baseline) due to FFN LoRA adapters on 3072-dim matrices; adopting as new standing default
9d2b4ed	0.588	0.620	0.653	0.494	0.592	roberta-base	discard	exp03: exp02 but attention-only (query,key,value,attention.output.dense, excludes FFN intermediate/output.dense) at same lora_r=64. Confirms FFN LoRA adapters are doing real work (0.588 vs exp02's 0.613), not just an rank-change artifact; back at ~2min/epoch though. Reverting to exp02 recipe as standing default
9d2b4ed	0.594	0.602	0.656	0.523	0.580	roberta-base	discard	exp04: exp02 recipe with lora_r 64->32, STOPPED after epoch 7/10 (GPU needed elsewhere, not a crash) -- st3=0.523 already beats exp02's st3=0.503 at that point, so this could be competitive or better than exp02 if let run to completion; re-run to full 10 epochs when GPU is free rather than treating as a settled discard
9d2b4ed	0.604	0.630	0.654	0.529	0.583	roberta-base	discard	exp04-rerun: same as above, run to full 10 epochs this time, best at epoch 7. Mean (0.604) is below exp02's 0.613, so r=64 stays the standing default -- but st3 is notably better here (0.529-0.536 across epochs 7-10 vs exp02's 0.503), dragged down by weaker st1 (0.618-0.630 vs exp02's 0.676). Worth revisiting r=32 if optimizing for st3 specifically
9d2b4ed	0.631	0.644	0.648	0.602	0.654	roberta-base	keep	exp05: exp02 + st3-loss-weight 1.0->2.0 (upweight the weakest/most-imbalanced subtask's BCE loss). Big win: st3 0.503->0.602, st3_family 0.556->0.654, st1/st2 roughly held. Best at epoch 10 (still climbing at end of budget, not plateaued) -- new standing default
9d2b4ed	0.622	0.609	0.648	0.608	0.668	roberta-base	discard	exp06: exp05 but st3-loss-weight 2.0->3.0. st3 keeps climbing (0.602->0.608, st3_family 0.654->0.668) but st1 drops (0.644->0.609) enough to lower the mean (0.631->0.622) -- 3.0 overshoots into hurting st1, reverting to st3-loss-weight=2.0 as standing default
9d2b4ed	0.623	0.621	0.648	0.600	0.641	roberta-base	discard	exp07: exp05 recipe with lr 2e-4->3e-4 (curve was still climbing at epoch10 last time, hoped for faster convergence). Slightly worse (0.623 vs 0.631) and noticeably noisier epoch-to-epoch (st3 swings 0.336/0.519/0.476/0.511/0.470/0.563...), reverting to lr=2e-4
9d2b4ed	0.215	0.334	0.228	0.084	0.105	legal-bert-base-uncased	discard	exp08: exp05 winning recipe with base model swapped roberta-base->legal-bert-base-uncased. KILLED by user after epoch 1/10 only -- far too early to judge (epoch1 numbers are always low/noisy, see baseline's own epoch1=0.319), inconclusive, re-run to completion later if domain-pretraining comparison is wanted
f0c4b2f	0.546	0.593	0.562	0.481	0.560	legal-bert-base-uncased	discard	exp08-rerun: same config as exp08 (exp05 recipe on legal-bert-base-uncased), run to full 10 epochs this time (previous 2 attempts both cut short after epoch 1). Best at epoch 7 (mean_macro_f1=0.546), plateaus/wobbles epochs 7-10 (0.546/0.538/0.545/0.545). Clearly below roberta-base exp05 standing best (0.631) on every submetric -- st1 especially weak (0.585-0.604 vs roberta exp05 0.644) and st3 similar-ish (0.481-0.486 vs 0.602). Legal-domain pretraining does not help this task; reverting focus to roberta-base track
f0c4b2f	0.625	0.627	0.656	0.592	0.644	roberta-base	discard	exp09: exp05 recipe (dense target modules, st3-loss-weight=2.0, pos-weight) with lora_r 64->32, run to full 10 epochs (revisiting exp04 territory per backlog). Best at epoch 9 (mean_macro_f1=0.625), epoch10=0.623. Close to exp05 (0.631) but still below it on mean; st3 (0.592) and st3_family (0.644) are close to exp05 (0.602/0.654) not clearly better this time, st2 is the best-yet (0.656). Confirms r=64 remains marginally ahead of r=32 when st3-loss-weight=2.0 is already applied -- the earlier st3 advantage for r=32 (exp04-rerun) does not clearly compound with the st3-loss-weight win. Reverting to r=64 (exp05) as standing default
f0c4b2f	0.634	0.691	0.637	0.574	0.636	roberta-base	keep	exp10: exp05 recipe with lora_alpha 16->32 (r=64 unchanged, so effective LoRA scaling alpha/r goes 0.25->0.5). Best at epoch 10 (still climbing, not plateaued) -- new best mean (0.634 vs exp05 0.631). Tradeoff vs exp05: st1 up a lot (0.644->0.691, peaked 0.715 at epoch5) but st3/st3_family down (0.602->0.574, 0.654->0.636), st2 about flat. Noisier epoch-to-epoch than exp05 (st1 swings 0.539/0.590/0.619/0.645/0.715/0.625/0.616/0.611/0.666/0.691). Small net win, adopting alpha=32 as new standing default given it is still climbing at the epoch budget ceiling
f0c4b2f	0.657	0.698	0.662	0.610	0.663	roberta-base	keep	exp11: exp10 recipe with lora_alpha 32->64 (r=64 unchanged, so alpha/r ratio 0.5->1.0). Strong new best, best at epoch 6 (mean_macro_f1=0.657, well above exp10 0.634 and exp05 0.631) then plateaus/wobbles epochs 7-10 (0.644/0.651/0.649/0.648) rather than still climbing -- unlike exp10 this one peaks mid-budget. All submetrics up vs exp05: st1 0.644->0.698, st2 0.648->0.662, st3 0.602->0.610, st3_family 0.654->0.663. Higher alpha/r ratio (stronger LoRA update scaling) is a clear win so far; adopting alpha=64 as new standing default, worth trying alpha=128 next to see if the pattern continues or overshoots
f0c4b2f	0.668	0.730	0.662	0.610	0.674	roberta-base	keep	exp12: exp11 recipe with lora_alpha 64->128 (r=64 unchanged, alpha/r ratio 1.0->2.0). Another new best, best at epoch 7 (mean_macro_f1=0.668), st1 peaks 0.716-0.730 in epochs 7-10. All submetrics continue climbing vs exp11: st1 0.698->0.730, st2 0.662->0.665, st3 0.610->0.617(epoch6)/0.588-0.610 range, st3_family 0.663->0.678. Gains per alpha-doubling are shrinking (16->32: +0.003 baseline->exp10 is confounded by other changes; 32->64 exp10->exp11: +0.023; 64->128 exp11->exp12: +0.011), suggesting diminishing returns and a nearby ceiling. Adopting alpha=128 as new standing default, trying alpha=256 next to check whether the curve has peaked or keeps improving
f0c4b2f	0.602	0.591	0.628	0.588	0.665	roberta-base	discard	exp13: exp12 recipe with lora_alpha 128->256 (alpha/r ratio 2.0->4.0). Clear overshoot: best mean_macro_f1=0.602 at epoch 10 (still climbing but far below exp12 0.668), st1 collapses to 0.588-0.640 range (vs exp12 0.693-0.730) while st2/st3/st3_family hold up better (st3_family even reaches 0.665, near-best). Too-large LoRA update scaling destabilizes st1 (the single-label softmax head) more than the multi-label sigmoid heads. Confirms alpha=128 is at or past the ceiling for this alpha sweep -- reverting to alpha=128 (exp12) as standing default
f0c4b2f	0.652	0.652	0.677	0.610	0.662	roberta-base	discard	exp14: bisection between exp12 (alpha=128, 0.668) and exp13 (alpha=256, 0.602, overshoot) -- lora_alpha=192. Best at epoch 6 (mean_macro_f1=0.652) then wobbles down (0.625/0.632/0.617) before a late recovery to 0.646 at epoch10. Below exp12 on every submetric at their respective bests. Confirms alpha=128 is the local peak of this sweep (64: 0.657 < 128: 0.668 > 192: 0.652 > 256: 0.602) -- reverting to alpha=128 (exp12) as standing default and closing out the alpha sweep
