===== runs/run_20260803_233713_lora_train_FacebookAI_roberta-base.log =====
2026-08-03 23:37:13,315 | INFO | MainThread | logging to runs/run_20260803_233713_lora_train_FacebookAI_roberta-base.log
2026-08-03 23:37:13,316 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_roberta'} device=cuda
2026-08-03 23:37:13,436 | INFO | MainThread | train=2353 dev=504

===== runs/run_20260803_234237_lora_train_FacebookAI_roberta-base.log =====
2026-08-03 23:42:37,720 | INFO | MainThread | logging to runs/run_20260803_234237_lora_train_FacebookAI_roberta-base.log
2026-08-03 23:42:37,720 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_roberta'} device=cuda
2026-08-03 23:42:37,810 | INFO | MainThread | train=2353 dev=504

===== runs/run_20260803_234640_lora_train_FacebookAI_roberta-base.log =====
2026-08-03 23:46:40,581 | INFO | MainThread | logging to runs/run_20260803_234640_lora_train_FacebookAI_roberta-base.log
2026-08-03 23:46:40,581 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_roberta'} device=cuda
2026-08-03 23:46:40,669 | INFO | MainThread | train=2353 dev=504
2026-08-03 23:48:17,457 | INFO | MainThread | epoch 1: mean train loss = 1.7957
2026-08-03 23:48:26,446 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.384, st2_macro_f1=0.075, st3_macro_f1=0.099, st3_family_macro_f1=0.291, mean_macro_f1=0.186
2026-08-03 23:48:26,467 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.186, saved to runs/lora_roberta/best
2026-08-03 23:50:01,574 | INFO | MainThread | epoch 2: mean train loss = 1.1038
2026-08-03 23:50:11,953 | INFO | MainThread | epoch 2 dev metrics: st1_macro_f1=0.593, st2_macro_f1=0.211, st3_macro_f1=0.098, st3_family_macro_f1=0.291, mean_macro_f1=0.301
2026-08-03 23:50:11,964 | INFO | MainThread | epoch 2: new best mean_macro_f1=0.301, saved to runs/lora_roberta/best

===== runs/run_20260803_235050_lora_train_FacebookAI_roberta-base.log =====
2026-08-03 23:50:50,815 | INFO | MainThread | logging to runs/run_20260803_235050_lora_train_FacebookAI_roberta-base.log
2026-08-03 23:50:50,815 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 200, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_roberta'} device=cuda
2026-08-03 23:50:50,897 | INFO | MainThread | train=2353 dev=504
2026-08-03 23:52:27,629 | INFO | MainThread | epoch 1: mean train loss = 2.7209
2026-08-03 23:52:36,612 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.155, st2_macro_f1=0.056, st3_macro_f1=0.117, st3_family_macro_f1=0.319, mean_macro_f1=0.109
2026-08-03 23:52:36,622 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.109, saved to runs/lora_roberta/best
2026-08-03 23:54:11,771 | INFO | MainThread | epoch 2: mean train loss = 2.0599
2026-08-03 23:54:22,001 | INFO | MainThread | epoch 2 dev metrics: st1_macro_f1=0.369, st2_macro_f1=0.000, st3_macro_f1=0.058, st3_family_macro_f1=0.223, mean_macro_f1=0.142
2026-08-03 23:54:22,009 | INFO | MainThread | epoch 2: new best mean_macro_f1=0.142, saved to runs/lora_roberta/best
2026-08-03 23:55:57,112 | INFO | MainThread | epoch 3: mean train loss = 1.4184
2026-08-03 23:56:06,191 | INFO | MainThread | epoch 3 dev metrics: st1_macro_f1=0.418, st2_macro_f1=0.006, st3_macro_f1=0.096, st3_family_macro_f1=0.297, mean_macro_f1=0.173
2026-08-03 23:56:06,198 | INFO | MainThread | epoch 3: new best mean_macro_f1=0.173, saved to runs/lora_roberta/best
2026-08-03 23:57:41,412 | INFO | MainThread | epoch 4: mean train loss = 1.1799
2026-08-03 23:57:50,426 | INFO | MainThread | epoch 4 dev metrics: st1_macro_f1=0.556, st2_macro_f1=0.110, st3_macro_f1=0.100, st3_family_macro_f1=0.291, mean_macro_f1=0.255
2026-08-03 23:57:50,433 | INFO | MainThread | epoch 4: new best mean_macro_f1=0.255, saved to runs/lora_roberta/best
2026-08-03 23:59:25,420 | INFO | MainThread | epoch 5: mean train loss = 1.0575
2026-08-03 23:59:35,823 | INFO | MainThread | epoch 5 dev metrics: st1_macro_f1=0.587, st2_macro_f1=0.187, st3_macro_f1=0.100, st3_family_macro_f1=0.297, mean_macro_f1=0.292
2026-08-03 23:59:35,832 | INFO | MainThread | epoch 5: new best mean_macro_f1=0.292, saved to runs/lora_roberta/best
2026-08-04 00:01:10,929 | INFO | MainThread | epoch 6: mean train loss = 0.9991
2026-08-04 00:01:19,944 | INFO | MainThread | epoch 6 dev metrics: st1_macro_f1=0.593, st2_macro_f1=0.241, st3_macro_f1=0.100, st3_family_macro_f1=0.292, mean_macro_f1=0.311
2026-08-04 00:01:19,954 | INFO | MainThread | epoch 6: new best mean_macro_f1=0.311, saved to runs/lora_roberta/best
2026-08-04 00:02:54,942 | INFO | MainThread | epoch 7: mean train loss = 0.9409
