2026-08-14 06:26:05,024 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_062605_mlp_pytorch_scratch.log
2026-08-14 06:26:05,122 | INFO | MainThread | device=cuda
2026-08-14 06:26:05,554 | INFO | MainThread | split_seed=42 train=1853 test_holdout=500 dev=504
2026-08-14 06:26:22,250 | INFO | MainThread | pos_weight per label: {'age_restricted_or_prohibited_product': 45.31999969482422, 'direct_exhortation': 6.690000057220459, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.880000114440918, 'insufficient_context': 50.0, 'misleading_claim': 1.0, 'no_flag': 3.559999942779541, 'undisclosed_advertising': 5.5}
2026-08-14 06:26:25,667 | INFO | MainThread | epoch 5: train_loss=0.9755 dev_st3_macro_f1=0.323
2026-08-14 06:26:25,697 | INFO | MainThread | epoch 10: train_loss=0.8219 dev_st3_macro_f1=0.201
2026-08-14 06:26:25,730 | INFO | MainThread | epoch 15: train_loss=0.6769 dev_st3_macro_f1=0.377
2026-08-14 06:26:25,767 | INFO | MainThread | epoch 20: train_loss=0.5599 dev_st3_macro_f1=0.386
2026-08-14 06:26:25,768 | INFO | MainThread | selected epoch=20 by dev_st3_macro_f1=0.386
2026-08-14 06:26:25,768 | INFO | MainThread | tuned per-label thresholds: {'age_restricted_or_prohibited_product': 0.25, 'direct_exhortation': 0.5, 'hfss_food_marketing': 0.55, 'inadequate_disclosure': 0.4, 'insufficient_context': 0.35, 'misleading_claim': 0.4, 'no_flag': 0.55, 'undisclosed_advertising': 0.45}
2026-08-14 06:26:25,802 | INFO | MainThread | === train (fit) ===
2026-08-14 06:26:25,803 | INFO | MainThread | st3_macro_f1=0.521 st3_family_macro_f1=0.621
2026-08-14 06:26:25,803 | INFO | MainThread | === dev (model + threshold selection) ===
2026-08-14 06:26:25,803 | INFO | MainThread | st3_macro_f1=0.386 st3_family_macro_f1=0.500
2026-08-14 06:26:25,803 | INFO | MainThread |   age_restricted_or_prohibited_product: 0.162
2026-08-14 06:26:25,803 | INFO | MainThread |   direct_exhortation: 0.358
2026-08-14 06:26:25,803 | INFO | MainThread |   hfss_food_marketing: 0.200
2026-08-14 06:26:25,804 | INFO | MainThread |   inadequate_disclosure: 0.383
2026-08-14 06:26:25,804 | INFO | MainThread |   insufficient_context: 0.370
2026-08-14 06:26:25,804 | INFO | MainThread |   misleading_claim: 0.681
2026-08-14 06:26:25,804 | INFO | MainThread |   no_flag: 0.455
2026-08-14 06:26:25,804 | INFO | MainThread |   undisclosed_advertising: 0.476
2026-08-14 06:26:25,804 | INFO | MainThread | === test-holdout (final check) ===
2026-08-14 06:26:25,804 | INFO | MainThread | st3_macro_f1=0.444 st3_family_macro_f1=0.561
2026-08-14 06:26:25,804 | INFO | MainThread |   age_restricted_or_prohibited_product: 0.267
2026-08-14 06:26:25,805 | INFO | MainThread |   direct_exhortation: 0.339
2026-08-14 06:26:25,805 | INFO | MainThread |   hfss_food_marketing: 0.556
2026-08-14 06:26:25,805 | INFO | MainThread |   inadequate_disclosure: 0.400
2026-08-14 06:26:25,805 | INFO | MainThread |   insufficient_context: 0.222
2026-08-14 06:26:25,805 | INFO | MainThread |   misleading_claim: 0.693
2026-08-14 06:26:25,805 | INFO | MainThread |   no_flag: 0.540
2026-08-14 06:26:25,805 | INFO | MainThread |   undisclosed_advertising: 0.533
2026-08-14 06:26:25,808 | INFO | MainThread | wrote test-holdout predictions to runs/submission_mlp_20260814_062605.jsonl
2026-08-14 06:26:25,836 | INFO | MainThread | appended results row to runs/baseline_decision_tree/results.csv
