2026-08-04 14:04:34,194 | INFO | MainThread | logging to runs/run_20260804_140434_lora_train_FacebookAI_roberta-base.log
2026-08-04 14:04:34,194 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 200, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 256, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_roberta'} device=cuda
2026-08-04 14:04:34,295 | INFO | MainThread | train=2353 dev=504
2026-08-04 14:06:20,155 | INFO | MainThread | epoch 1: mean train loss = 2.7193
2026-08-04 14:06:30,252 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.155, st2_macro_f1=0.056, st3_macro_f1=0.117, st3_family_macro_f1=0.319, mean_macro_f1=0.109
2026-08-04 14:06:30,327 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.109, saved to runs/lora_roberta/best
2026-08-04 14:08:14,330 | INFO | MainThread | epoch 2: mean train loss = 2.0702
2026-08-04 14:08:24,463 | INFO | MainThread | epoch 2 dev metrics: st1_macro_f1=0.361, st2_macro_f1=0.000, st3_macro_f1=0.103, st3_family_macro_f1=0.200, mean_macro_f1=0.155
2026-08-04 14:08:24,575 | INFO | MainThread | epoch 2: new best mean_macro_f1=0.155, saved to runs/lora_roberta/best
2026-08-04 14:10:08,697 | INFO | MainThread | epoch 3: mean train loss = 1.4321
2026-08-04 14:10:18,788 | INFO | MainThread | epoch 3 dev metrics: st1_macro_f1=0.416, st2_macro_f1=0.008, st3_macro_f1=0.096, st3_family_macro_f1=0.298, mean_macro_f1=0.173
2026-08-04 14:10:18,852 | INFO | MainThread | epoch 3: new best mean_macro_f1=0.173, saved to runs/lora_roberta/best
