2026-08-08 20:23:45,214 | INFO | MainThread | logging to runs/run_20260808_202345_last_layer_train_FacebookAI_roberta-base.log
2026-08-08 20:23:45,214 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'context': 'full', 'max_length': 512, 'epochs': 200, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 2e-05, 'warmup_ratio': 0.06, 'num_unfrozen_layers': 1, 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/last_layer_roberta', 'no_wandb': True} device=cuda
2026-08-08 20:23:45,340 | INFO | MainThread | train=2353 dev=504
2026-08-08 20:23:46,893 | INFO | MainThread | trainable params: 7107097/124664857 (5.70%)
2026-08-08 20:24:34,678 | INFO | MainThread | epoch 1: mean train loss = 2.7185
2026-08-08 20:24:42,811 | INFO | MainThread | epoch 1 dev metrics (tuned thresholds): st1_macro_f1=0.154, st2_macro_f1=0.179, st3_macro_f1=0.003, st3_family_macro_f1=0.105, mean_macro_f1=0.112
2026-08-08 20:24:42,857 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.112, saved to runs/last_layer_roberta/best
2026-08-08 20:25:28,653 | INFO | MainThread | epoch 2: mean train loss = 2.5061
2026-08-08 20:25:37,919 | INFO | MainThread | epoch 2 dev metrics (tuned thresholds): st1_macro_f1=0.155, st2_macro_f1=0.183, st3_macro_f1=0.047, st3_family_macro_f1=0.105, mean_macro_f1=0.129
2026-08-08 20:25:37,965 | INFO | MainThread | epoch 2: new best mean_macro_f1=0.129, saved to runs/last_layer_roberta/best
2026-08-08 20:26:23,670 | INFO | MainThread | epoch 3: mean train loss = 2.0333
2026-08-08 20:26:31,702 | INFO | MainThread | epoch 3 dev metrics (tuned thresholds): st1_macro_f1=0.239, st2_macro_f1=0.196, st3_macro_f1=0.070, st3_family_macro_f1=0.105, mean_macro_f1=0.168
2026-08-08 20:26:31,738 | INFO | MainThread | epoch 3: new best mean_macro_f1=0.168, saved to runs/last_layer_roberta/best
2026-08-08 20:27:18,915 | INFO | MainThread | epoch 4: mean train loss = 1.6596
2026-08-08 20:27:27,123 | INFO | MainThread | epoch 4 dev metrics (tuned thresholds): st1_macro_f1=0.348, st2_macro_f1=0.193, st3_macro_f1=0.098, st3_family_macro_f1=0.161, mean_macro_f1=0.213
