2026-08-14 06:25:19,109 | INFO | MainThread | logging to runs/run_20260814_062519_lora_train_generative_microsoft_Phi-4-mini-instruct.log
2026-08-14 06:25:19,109 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'microsoft/Phi-4-mini-instruct', 'model_path': None, 'context': 'full', 'lean_prompt': True, 'df_path': 'emnllp-dialog-flow-dialog-flow.json', 'max_length': 4096, 'epochs': 1, 'batch_size': 1, 'eval_batch_size': 4, 'grad_accum_steps': 4, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'qkv_proj', 'peft_method': 'lora', 'num_virtual_tokens': 20, 'prompt_tuning_init_text': None, 'st3_loss_weight': 1.0, 'pos_weight': False, 'oversample_rare_st3': 1, 'load_in_4bit': False, 'parallelism': 'none', 'max_new_tokens': 128, 'sample_size': 100, 'test_holdout': 20, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora-phi4mini', 'checkpoint_save_path': None} device=cuda
2026-08-14 06:25:19,296 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=2097561726 train=2333 test_holdout=20
2026-08-14 06:25:19,297 | INFO | MainThread | train=100 dev=100
2026-08-14 06:25:19,297 | INFO | MainThread | loading model/tokenizer from local path models/microsoft/Phi-4-mini-instruct (no remote download)
2026-08-14 06:26:19,751 | INFO | MainThread | system prompt: lean (1698 chars) + dialog flow from emnllp-dialog-flow-dialog-flow.json (4654 chars)
2026-08-14 06:28:59,681 | INFO | MainThread | epoch 1: mean train loss = 1.7259
2026-08-14 06:42:26,150 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.000, st2_macro_f1=0.000, st3_macro_f1=0.000, st3_family_macro_f1=0.115, mean_macro_f1=0.000
2026-08-14 06:42:26,151 | INFO | MainThread | epoch 1 dev st1 per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
2026-08-14 06:42:26,151 | INFO | MainThread | epoch 1 dev st2 per-label F1: apps=0.000, creator_community=0.000, education=0.000, fashion=0.000, financial=0.000, food=0.000, gambling=0.000, gambling_adjacent=0.000, hardware_electronics=0.000, health=0.000, other=0.000, toys=0.000
2026-08-14 06:42:26,151 | INFO | MainThread | epoch 1 dev st3 per-label F1: age_restricted_or_prohibited_product=0.000, direct_exhortation=0.000, hfss_food_marketing=0.000, inadequate_disclosure=0.000, insufficient_context=0.000, misleading_claim=0.000, no_flag=0.000, undisclosed_advertising=0.000
2026-08-14 06:42:26,151 | INFO | MainThread | epoch 1 dev st3_family per-label F1: content=0.000, disclosure=0.000, housekeeping=0.462, product=0.000
2026-08-14 06:42:26,192 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.000, saved to runs/lora-phi4mini/best
2026-08-14 06:42:26,221 | INFO | MainThread | saved final epoch adapter to runs/lora-phi4mini/last (best dev mean_macro_f1=0.000)
2026-08-14 06:42:26,222 | INFO | MainThread | best dev metrics: st1_macro_f1=0.000, st2_macro_f1=0.000, st3_macro_f1=0.000, st3_family_macro_f1=0.115, mean_macro_f1=0.000
2026-08-14 06:42:26,222 | INFO | MainThread | reloading best-dev checkpoint from runs/lora-phi4mini/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-14 06:46:01,365 | INFO | MainThread | test holdout metrics: st1_macro_f1=0.000, st2_macro_f1=0.000, st3_macro_f1=0.000, st3_family_macro_f1=0.115, mean_macro_f1=0.000
2026-08-14 06:46:01,366 | INFO | MainThread | st1 per-label F1: digital_content_or_services=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
2026-08-14 06:46:01,366 | INFO | MainThread | st2 per-label F1: apps=0.000, creator_community=0.000, education=0.000, fashion=0.000, food=0.000, hardware_electronics=0.000, health=0.000, other=0.000
2026-08-14 06:46:01,366 | INFO | MainThread | st3 per-label F1: age_restricted_or_prohibited_product=0.000, direct_exhortation=0.000, inadequate_disclosure=0.000, insufficient_context=0.000, misleading_claim=0.000, no_flag=0.000, undisclosed_advertising=0.000
2026-08-14 06:46:01,366 | INFO | MainThread | st3_family per-label F1: content=0.000, disclosure=0.000, housekeeping=0.462, product=0.000
