2026-08-16 22:51:05,296 | INFO | MainThread | logging to runs/run_20260816_225105_lora_train_generative_Qwen_Qwen3-0.6B.log
2026-08-16 22:51:05,296 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'Qwen/Qwen3-0.6B', 'model_path': None, 'context': 'full', 'lean_prompt': True, 'df_path': 'emnllp-dialog-flow-dialog-flow.json', 'max_length': 4096, 'epochs': 5, 'batch_size': 1, 'eval_batch_size': 8, 'eval_every': 5, 'grad_accum_steps': 4, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'q_proj,v_proj', 'peft_method': 'lora', 'num_virtual_tokens': 20, 'prompt_tuning_init_text': None, 'st3_loss_weight': 1.0, 'pos_weight': True, 'oversample_rare_st3': 1, 'oversample_rare_st1': 3, 'st3_only': False, 'st12_only': False, 'st1_only': True, 'no_gradient_checkpointing': True, 'load_in_4bit': False, 'parallelism': 'none', 'max_new_tokens': 128, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora-qwen-st1-5epoch-poswt-oversample-rep2', 'checkpoint_save_path': None} device=cuda
2026-08-16 22:51:05,426 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1886484272 train=1853 test_holdout=500
2026-08-16 22:51:05,426 | INFO | MainThread | train=1853 dev=504
2026-08-16 22:51:05,428 | INFO | MainThread | oversampling rare st1 labels ['none', 'other'] 3x: train 1853 -> 1905
2026-08-16 22:51:05,428 | INFO | MainThread | loading model/tokenizer from local path models/Qwen/Qwen3-0.6B (no remote download)
2026-08-16 22:51:06,674 | INFO | MainThread | system prompt: lean (1698 chars) + dialog flow from emnllp-dialog-flow-dialog-flow.json (5685 chars)
2026-08-16 22:51:06,745 | INFO | MainThread | pos_weight st1: {'digital_content_or_services': 2.2385427951812744, 'none': 26.45833396911621, 'other': 50.0, 'physical_goods': 2.172177791595459, 'physical_services': 19.24242401123047}
2026-08-16 22:51:06,745 | INFO | MainThread | pos_weight st2: {'apps': 2.6918604373931885, 'creator_community': 7.4666666984558105, 'education': 16.16216278076172, 'fashion': 7.901869297027588, 'financial': 16.80373764038086, 'food': 7.141025543212891, 'gambling': 50.0, 'gambling_adjacent': 23.740259170532227, 'hardware_electronics': 3.6691176891326904, 'health': 8.524999618530273, 'other': 4.039682388305664, 'toys': 30.229507446289062}
2026-08-16 22:51:06,745 | INFO | MainThread | pos_weight st3: {'age_restricted_or_prohibited_product': 38.6875, 'direct_exhortation': 6.871901035308838, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.871951103210449, 'insufficient_context': 50.0, 'misleading_claim': 0.8786982297897339, 'no_flag': 3.3894009590148926, 'undisclosed_advertising': 5.4141411781311035}
2026-08-16 22:51:06,745 | INFO | MainThread | --st1-only: completion is {"st1":...} alone; st2/st3 in logged metrics are fixed placeholders, read st1_macro_f1 only; best-checkpoint selection uses st1_macro_f1 instead of mean_macro_f1
2026-08-16 23:05:32,187 | INFO | MainThread | epoch 1: mean train loss = 0.6334
2026-08-16 23:05:32,187 | INFO | MainThread | epoch 1: train input length (tokens, unpadded) -- min=1860 mean=3012 max=4012 n=1905
2026-08-16 23:19:58,766 | INFO | MainThread | epoch 2: mean train loss = 0.0594
2026-08-16 23:19:58,767 | INFO | MainThread | epoch 2: train input length (tokens, unpadded) -- min=1860 mean=3012 max=4012 n=1905
2026-08-16 23:34:24,135 | INFO | MainThread | epoch 3: mean train loss = 0.0228
2026-08-16 23:34:24,135 | INFO | MainThread | epoch 3: train input length (tokens, unpadded) -- min=1860 mean=3012 max=4012 n=1905
2026-08-16 23:48:48,395 | INFO | MainThread | epoch 4: mean train loss = 0.0071
2026-08-16 23:48:48,395 | INFO | MainThread | epoch 4: train input length (tokens, unpadded) -- min=1860 mean=3012 max=4012 n=1905
2026-08-17 00:03:12,590 | INFO | MainThread | epoch 5: mean train loss = 0.0021
2026-08-17 00:03:12,590 | INFO | MainThread | epoch 5: train input length (tokens, unpadded) -- min=1860 mean=3012 max=4012 n=1905
2026-08-17 00:06:04,644 | INFO | MainThread | generate_predictions: input length (tokens, unpadded) -- min=1897 mean=2949 max=4000 n=504
2026-08-17 00:06:04,824 | INFO | MainThread | epoch 5 dev metrics: st1_macro_f1=0.791, st2_macro_f1=0.000, st3_macro_f1=0.050, st3_family_macro_f1=0.105, mean_macro_f1=0.281
2026-08-17 00:06:04,825 | INFO | MainThread | epoch 5 dev st1 per-label F1: digital_content_or_services=0.929, none=0.476, physical_goods=0.930, physical_services=0.830
2026-08-17 00:06:04,825 | INFO | MainThread | epoch 5 dev st2 per-label F1: apps=0.000, creator_community=0.000, education=0.000, fashion=0.000, financial=0.000, food=0.000, gambling=0.000, gambling_adjacent=0.000, hardware_electronics=0.000, health=0.000, other=0.000, toys=0.000
