2026-08-17 14:27:33,693 | INFO | MainThread | logging to runs/run_20260817_142733_lora_train_st1_none_FacebookAI_roberta-base.log
2026-08-17 14:27:33,693 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 2, 'batch_size': 4, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_none': 1, 'threshold': 0.5, 'sample_size': 24, 'seed': 42, 'device': None, 'output_dir': '/tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none', 'no_wandb': True} device=cuda
2026-08-17 14:27:34,369 | INFO | MainThread | train=24 (none=0, 0.0%) dev=24 (none=4, 16.7%)
2026-08-17 14:27:34,752 | INFO | MainThread | class_weight: not_none=1.000 none=24.000
2026-08-17 14:27:44,932 | INFO | MainThread | epoch 1: mean train loss = 0.4226
2026-08-17 14:27:45,515 | INFO | MainThread | epoch 1 dev metrics (threshold=0.05): accuracy=0.167, none_precision=0.167, none_recall=1.000, none_f1=0.286, not_none_f1=0.000, macro_f1=0.143, tp=4, fp=20, fn=0, tn=0
2026-08-17 14:27:45,706 | INFO | MainThread | epoch 1: new best macro_f1=0.143, saved to /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none/best
2026-08-17 14:27:46,683 | INFO | MainThread | epoch 2: mean train loss = 0.2470
2026-08-17 14:27:47,100 | INFO | MainThread | epoch 2 dev metrics (threshold=0.15): accuracy=0.208, none_precision=0.174, none_recall=1.000, none_f1=0.296, not_none_f1=0.095, macro_f1=0.196, tp=4, fp=19, fn=0, tn=1
2026-08-17 14:27:47,248 | INFO | MainThread | epoch 2: new best macro_f1=0.196, saved to /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none/best
2026-08-17 14:27:47,379 | INFO | MainThread | saved final epoch adapter to /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none/last (best dev macro_f1=0.196)
