2026-08-18 01:20:54,271 | INFO | MainThread | logging to runs/run_20260818_012054_lora_train_st1_classifier_allenai_longformer-base-4096.log
2026-08-18 01:20:54,271 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'allenai/longformer-base-4096', 'local': True, 'context': 'full', 'max_length': 1024, 'truncation_side': 'left', 'page_token_budget': None, 'epochs': 1, 'batch_size': 2, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': 16, 'test_holdout': 8, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': '/tmp/smoke_longformer', 'no_wandb': True} device=cuda
2026-08-18 01:20:54,409 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=404908069 train=2345 test_holdout=8
2026-08-18 01:20:54,411 | INFO | MainThread | train=16 dist=digital_content_or_services=6 (37.5%), none=1 (6.2%), other=0 (0.0%), physical_goods=7 (43.8%), physical_services=2 (12.5%)
2026-08-18 01:20:54,411 | INFO | MainThread | dev=16 dist=digital_content_or_services=8, none=0, other=0, physical_goods=7, physical_services=1
2026-08-18 01:20:54,411 | INFO | MainThread | oversampled rare st1 labels ['other'] 3x: train now 16 instances
2026-08-18 01:20:54,505 | INFO | MainThread | class_weight: digital_content_or_services=2.667, none=16.000, other=16.000, physical_goods=2.286, physical_services=8.000
2026-08-18 01:20:59,996 | INFO | MainThread | epoch 1: mean train loss = 1.5609
2026-08-18 01:21:01,439 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.500, macro_f1=0.173, loss=1.363
2026-08-18 01:21:01,440 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.200, none=0.000, other=0.000, physical_goods=0.667, physical_services=0.000
2026-08-18 01:21:01,466 | INFO | MainThread | epoch 1: new best macro_f1=0.173, saved to /tmp/smoke_longformer/best
2026-08-18 01:21:01,490 | INFO | MainThread | saved final epoch adapter to /tmp/smoke_longformer/last (best dev macro_f1=0.173)
2026-08-18 01:21:01,491 | INFO | MainThread | reloading best-dev checkpoint from /tmp/smoke_longformer/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 01:21:03,029 | INFO | MainThread | test holdout metrics: accuracy=0.000, macro_f1=0.000, loss=1.435
2026-08-18 01:21:03,029 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
