2026-08-18 01:25:43,285 | INFO | MainThread | logging to runs/run_20260818_012543_lora_train_st1_classifier_nlpaueb_legal-bert-base-uncased.log
2026-08-18 01:25:43,286 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'nlpaueb/legal-bert-base-uncased', 'local': False, 'context': 'full', 'max_length': 512, 'truncation_side': 'left', 'page_token_budget': None, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0005, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-legalbert-truncleft-lr5e4', 'no_wandb': True} device=cuda
2026-08-18 01:25:43,424 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1845487769 train=1853 test_holdout=500
2026-08-18 01:25:43,426 | INFO | MainThread | train=1853 dist=digital_content_or_services=852 (46.0%), none=29 (1.6%), other=2 (0.1%), physical_goods=877 (47.3%), physical_services=93 (5.0%)
2026-08-18 01:25:43,426 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-18 01:25:43,427 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 1915 instances
2026-08-18 01:25:43,647 | INFO | MainThread | class_weight: digital_content_or_services=2.248, none=22.011, other=50.000, physical_goods=2.184, physical_services=20.591
2026-08-18 01:27:04,474 | INFO | MainThread | epoch 1: mean train loss = 1.3918
2026-08-18 01:27:13,676 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.591, macro_f1=0.339, loss=1.119
2026-08-18 01:27:13,676 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.615, none=0.089, other=0.000, physical_goods=0.727, physical_services=0.264
2026-08-18 01:27:13,789 | INFO | MainThread | epoch 1: new best macro_f1=0.339, saved to runs/st1-classifier-legalbert-truncleft-lr5e4/best
2026-08-18 01:28:31,873 | INFO | MainThread | epoch 2: mean train loss = 0.9291
2026-08-18 01:28:41,130 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.792, macro_f1=0.518, loss=0.642
2026-08-18 01:28:41,130 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.821, none=0.279, other=0.000, physical_goods=0.824, physical_services=0.667
2026-08-18 01:28:41,241 | INFO | MainThread | epoch 2: new best macro_f1=0.518, saved to runs/st1-classifier-legalbert-truncleft-lr5e4/best
2026-08-18 01:29:59,361 | INFO | MainThread | epoch 3: mean train loss = 0.6329
2026-08-18 01:30:08,975 | INFO | MainThread | epoch 3 dev metrics: accuracy=0.813, macro_f1=0.494, loss=0.574
2026-08-18 01:30:08,975 | INFO | MainThread | epoch 3 dev metrics per-label F1: digital_content_or_services=0.839, none=0.091, other=0.000, physical_goods=0.832, physical_services=0.711
2026-08-18 01:31:26,259 | INFO | MainThread | epoch 4: mean train loss = 0.4869
2026-08-18 01:31:35,330 | INFO | MainThread | epoch 4 dev metrics: accuracy=0.829, macro_f1=0.480, loss=0.550
2026-08-18 01:31:35,331 | INFO | MainThread | epoch 4 dev metrics per-label F1: digital_content_or_services=0.854, none=0.000, other=0.000, physical_goods=0.852, physical_services=0.694
2026-08-18 01:32:53,701 | INFO | MainThread | epoch 5: mean train loss = 0.3618
2026-08-18 01:33:03,004 | INFO | MainThread | epoch 5 dev metrics: accuracy=0.833, macro_f1=0.497, loss=0.544
2026-08-18 01:33:03,004 | INFO | MainThread | epoch 5 dev metrics per-label F1: digital_content_or_services=0.851, none=0.000, other=0.000, physical_goods=0.856, physical_services=0.780
2026-08-18 01:33:03,223 | INFO | MainThread | saved final epoch adapter to runs/st1-classifier-legalbert-truncleft-lr5e4/last (best dev macro_f1=0.518)
2026-08-18 01:33:03,223 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-classifier-legalbert-truncleft-lr5e4/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 01:33:15,855 | INFO | MainThread | test holdout metrics: accuracy=0.776, macro_f1=0.466, loss=0.677
2026-08-18 01:33:15,855 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.796, none=0.214, other=0.000, physical_goods=0.835, physical_services=0.486
